site,day_of_month,month,year,text,species,count
Monmouth Park,23,November,2012,"Great Spotted Woodpecker....1 ",Great Spotted Woodpecker,1
Buile Hill Park,26,February,2016," Today my daily dog walk around Buile Hill Park produced a pair of Coal Tits.. I can't recall ever seeing this species in the park before? Also the past week there has been a high number of Nuthatch's active throughout the park along with the resident Great spotted Woodpeckers drumming and courting. Plus a small flock of Redwings still present too. ",Great Spotted Woodpecker,X
Buile Hill Park,5,April,2015," still a small flock of Red wing present , dozens of magpie , yet no sign of the Great spotted woodpeckers or Sparrowhawk that I normally see daily! Typical ",Great Spotted Woodpecker,X
Buile Hill Park,21,March,2015," Two Great Spotted Woodpecker's showing very well in Buile Hill Park this afternoon.. Could be heard Drumming very loudly and be seen chasing each other around the park.. ",Great Spotted Woodpecker,X
Buile Hill Park,2,November,2014," Daily dog walk around Buile Hill Park this morning: x1 Great Spotted Woodpecker , x1 Sparrowhawk ",Great Spotted Woodpecker,1
Buile Hill Park,25,July,2012,"Great Spotted Woodpecker ",Great Spotted Woodpecker,X
Buile Hill Park,2,June,2012," two Great spotted woodpecker's in Buile Hill Park this afternoon feeding their very noisy chicks ",Great Spotted Woodpecker,X
Buile Hill Park,25,March,2012,"1 drumming Great Spotted Woodpecker showing well ",Great Spotted Woodpecker,1
Buile Hill Park,5,April,2009," Buile Hill Park - drumming Great Spotted Woodpecker, 1+ Song Thrush, singing Coal Tit (by the bowling green) ",Great Spotted Woodpecker,1
Buile Hill Park,4,April,2009," Great Spotted Woodpecker drumming in Buile Hill Park, also c10 Greenfinch and a pair of Mallard on the small pool ",Great Spotted Woodpecker,10
Buile Hill Park,1,April,2009," 3 Great Spotted Woodpeckers chasing each other around Buile Hill Park, also Nuthatch and singing Song Thrush ",Great Spotted Woodpecker,3
Buile Hill Park,28,January,2009,"pair of Great Spotted Woodpecker Buile Hill Park ",Great Spotted Woodpecker,X
Weaste Cemetery,14,April,2013,"Great spotted woodpecker ",Great Spotted Woodpecker,X
Weaste Cemetery,15,April,2012,"3 Great spotted woodpeckers ",Great Spotted Woodpecker,3
Oakwood Park,30,December,2012,"Great spotted woodpecker ",Great Spotted Woodpecker,X
Lightoaks Park,26,April,2012,"2 great spotted woodpecker ",Great Spotted Woodpecker,2
Lightoaks Park,21,November,2010,"1 Brambling, 3 Mistle Thrush, 2 Siskin, 1 Nuthatch, 1 Sparrowhawk, 1 Great Spotted Woodpecker and 2 Goldcrest. c70 Mallard, 6 Moorhen on the pond. ",Great Spotted Woodpecker,1
Agecroft Cemetery,20,February,2013,"Also a Great Spotted Woodpecker, a pair of Mistle Thrush and another bird singing loudly nearby. ",Great Spotted Woodpecker,X
Agecroft Cemetery,22,November,2010,"A Great Spotted Woodpecker was in Agecroft Cemetery, as were 3 Mistle Thrush. 5 Bullfinch, 3 Goldcrest and 2 each of Siskin, Lesser Redpoll, Fieldfare and 3 Redwing were logged. ",Great Spotted Woodpecker,3
Chorlton EES,5,March,2019,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,6,January,2019,"1 great spotted woodpecker heard ",Great Spotted Woodpecker,1
Chorlton EES,25,November,2018,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,2,November,2018,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,9,September,2018,"1 great spotted woodpecker heard ",Great Spotted Woodpecker,1
Chorlton EES,20,August,2018,"Great Spotted Woodpecker (1) ",Great Spotted Woodpecker,1
Chorlton EES,27,July,2018,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,9,June,2018,"3 great spotted woodpecker (including two juvenile) ",Great Spotted Woodpecker,3
Chorlton EES,26,May,2018,"3 great spotted woodpecker (pair around nest-site) ",Great Spotted Woodpecker,3
Chorlton EES,18,May,2018,"1 great spotted woodpecker heard ",Great Spotted Woodpecker,1
Chorlton EES,29,April,2018,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,19,April,2018,"Great Spotted Woodpecker 1 leaving probable nest hole ",Great Spotted Woodpecker,1
Chorlton EES,8,April,2018,"4 great spotted woodpecker ",Great Spotted Woodpecker,4
Chorlton EES,5,April,2018,"Great Spotted Woodpecker 1 ",Great Spotted Woodpecker,1
Chorlton EES,26,March,2018,"Great Spotted woodpecker ",Great Spotted Woodpecker,X
Chorlton EES,24,March,2018," Late afternoon walk today highlights: Hardy Farm area: 2 Meadow pipits, feeding on Hardy farm, a patch tick for me I think Bullfinches Chaffinches Great Spotted Woodpecker 2 Grey Heron Barlow tip: Great spotted Woodpecker probable Snipe, very brief sighting Bullfinch Redwings Buzzard (Also had 1 Woodcock here on 19th March) Chorlton Water Park: 3 Kingfishers 2 Goldeneye 1 Great crested grebe Chorlton ees: 30 redwings 2 Grey Heron C. 300 Jackdaw Reed bunting 1 Treecreeper 1 Kingfisher flying down river ",Great Spotted Woodpecker,2
Chorlton EES,20,March,2018,"Great Spotted Woodpecker - calling ",Great Spotted Woodpecker,X
Chorlton EES,18,March,2018,"2 great spotted woodpecker ",Great Spotted Woodpecker,2
Chorlton EES,11,March,2018,"3 great spotted woodpecker ",Great Spotted Woodpecker,3
Chorlton EES,3,March,2018,"Great Spotted Woodpecker 1 - drumming in the usual area. ",Great Spotted Woodpecker,1
Chorlton EES,1,March,2018,"Great Spotted Woodpecker 1 - struggling to fly into the wind, and one later drumming on the usual tree ",Great Spotted Woodpecker,1
Chorlton EES,21,February,2018,"3 Great Spotted Woodpecker ",Great Spotted Woodpecker,3
Chorlton EES,7,February,2018,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,5,February,2018," Great Spotted Woodpecker (1) - drumming on the same tree as yesterday on Hardy Farm. ",Great Spotted Woodpecker,1
Chorlton EES,4,February,2018,"2 great spotted woodpecker heard ",Great Spotted Woodpecker,2
Chorlton EES,4,February,2018,"Great Spotted Woodpecker Drumming (1) ",Great Spotted Woodpecker,1
Chorlton EES,5,January,2018,"1 great spotted woodpecker heard ",Great Spotted Woodpecker,1
Chorlton EES,10,December,2017,"2 great spotted woodpecker ",Great Spotted Woodpecker,2
Chorlton EES,5,December,2017," Also several redwing, 2 song thrush, 3 grey heron, 2 great spotted woodpecker, 2 bullfinch, goldcrest amongst mixed tit flock. ",Great Spotted Woodpecker,2
Chorlton EES,3,December,2017,"3 great spotted woodpecker ",Great Spotted Woodpecker,3
Chorlton EES,9,November,2017,"Great Spotted Woodpecker 1. ",Great Spotted Woodpecker,1
Chorlton EES,6,November,2017,"2 great spotted woodpeckers ",Great Spotted Woodpecker,2
Chorlton EES,5,November,2017,"3+ great spotted woodpecker ",Great Spotted Woodpecker,3
Chorlton EES,25,June,2017,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,18,June,2017,"1 or 2 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,14,April,2017,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,14,April,2017,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,7,April,2017,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,4,April,2017,"2 great spotted woodpecker ",Great Spotted Woodpecker,2
Chorlton EES,26,March,2017,"3 great spotted woodpecker (one drumming, one calling, one flying) ",Great Spotted Woodpecker,3
Chorlton EES,26,February,2017,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,13,February,2017,"Great Spotted Woodpecker (2) over ",Great Spotted Woodpecker,2
Chorlton EES,9,February,2017,"great spotted woodpeckers have been drumming this week on the sunnier days. ",Great Spotted Woodpecker,X
Chorlton EES,1,February,2017,"Great spotted woodpecker 1 over ",Great Spotted Woodpecker,1
Chorlton EES,29,January,2017,"Great Spotted Woodpecker (2) ",Great Spotted Woodpecker,2
Chorlton EES,22,January,2017,"4 great spotted woodpecker ",Great Spotted Woodpecker,4
Chorlton EES,4,December,2016,"1 great spotted woodpecker heard ",Great Spotted Woodpecker,1
Chorlton EES,23,November,2016,"2 great spotted woodpeckers ",Great Spotted Woodpecker,2
Chorlton EES,15,November,2016,"2 great spotted woodpeckers ",Great Spotted Woodpecker,2
Chorlton EES,13,November,2016,"1 or 2 great spotted woodpecker heard ",Great Spotted Woodpecker,1
Chorlton EES,5,November,2016,"2 great spotted woodpecker ",Great Spotted Woodpecker,2
Chorlton EES,1,November,2016,"2 great spotted woodpecker ",Great Spotted Woodpecker,2
Chorlton EES,23,October,2016,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,20,October,2016," Short walk this eve: 2 kestrel (m) being harrased by magpies and jackdaws 1 Ring-necked parakeet Great spotted woodpecker 1 kingfisher Lots of goldcrest Plenty of the usual suspects ",Great Spotted Woodpecker,2
Chorlton EES,19,October,2016,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,25,September,2016,"1 great spotted woodpecker heard ",Great Spotted Woodpecker,1
Chorlton EES,23,September,2016,"Great spotted woodpecker & tawny owl heard. 2 ring-necked parakeet ",Great Spotted Woodpecker,2
Chorlton EES,19,June,2016,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,14,May,2016,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,5,May,2016,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,3,May,2016,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,2,May,2016,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,19,April,2016,"Pair of Great Spotted Woodpecker ",Great Spotted Woodpecker,X
Chorlton EES,7,April,2016,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,4,April,2016,"2 Great Spotted woodpeckers ",Great Spotted Woodpecker,2
Chorlton EES,2,March,2016,"Note - earlier in the week had 2 Great Spotted Woodpecker drumming (7am) ",Great Spotted Woodpecker,2
Chorlton EES,19,February,2016,"Great Spotted Woodpecker - 2 drumming near the cobbled road, and one on hardy farm - Sunday 14th early. Also Pair of kestrel in display flight over the cow field. ",Great Spotted Woodpecker,2
Chorlton EES,15,February,2016,"4 Great spotted woodpecker ",Great Spotted Woodpecker,4
Chorlton EES,14,February,2016," 2 Willow tit one ringed Treecreeper, Goldcrest, Great Spotted Woodpecker, small flock of Redwing, and Herons nesting. Keep Birding ",Great Spotted Woodpecker,2
Chorlton EES,10,February,2016,"2 Great Spotted Woodpecker (Would have got a great photo, had I not have forgotten my memory card) ",Great Spotted Woodpecker,2
Chorlton EES,7,February,2016,"1 great spotted woodpecker (with another heard) ",Great Spotted Woodpecker,1
Chorlton EES,31,January,2016,"Great spotted woodpecker (1) ",Great Spotted Woodpecker,1
Chorlton EES,17,January,2016,"2 great spotted woodpecker ",Great Spotted Woodpecker,2
Chorlton EES,14,November,2015," Thanks for the update fellas. I was there for about an hour earlier, nothing much to report. flock of about 30-40 fieldfares, much increased from the other day! a buzzard and a kestrel, 1 great spotted woodpecker and 1 Goosander on the river. ",Great Spotted Woodpecker,30
Chorlton EES,2,November,2015,"- Great Spotted Woodpecker (heard only) ",Great Spotted Woodpecker,X
Chorlton EES,31,October,2015,"4 great spotted woodpecker ",Great Spotted Woodpecker,4
Chorlton EES,25,October,2015,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,25,October,2015,"3 great spotted woodpecker ",Great Spotted Woodpecker,3
Chorlton EES,27,September,2015,"2 great spotted woodpecker ",Great Spotted Woodpecker,2
Chorlton EES,19,September,2015,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,23,August,2015,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,19,June,2015,"At the open to chorlton brook from the Mersey there was a pair of great spotted woodpeckers were in the same tree. ",Great Spotted Woodpecker,X
Chorlton EES,19,April,2015,"3 great spotted woodpecker heard drumming ",Great Spotted Woodpecker,3
Chorlton EES,12,April,2015,"3 great spotted woodpecker (one seen, one heard calling, one heard drumming) ",Great Spotted Woodpecker,3
Chorlton EES,19,March,2015,"2 great spotted woodpecker ",Great Spotted Woodpecker,2
Chorlton EES,15,February,2015,"Great Spotted Woodpecker (drumming somewhere) ",Great Spotted Woodpecker,X
Chorlton EES,1,February,2015,"2 great spotted woodpecker ",Great Spotted Woodpecker,2
Chorlton EES,24,November,2013,"2 great spotted woodpeckers ",Great Spotted Woodpecker,2
Chorlton EES,19,June,2013,"Great Spotted Woodpecker - a pair moving through the trees of the Heronry ",Great Spotted Woodpecker,X
Chorlton EES,3,June,2013,"Juvenile Great Spotted Woodpeckers ",Great Spotted Woodpecker,X
Chorlton EES,25,May,2013,"pair Great Spotted Woodpecker feeding young ",Great Spotted Woodpecker,X
Chorlton EES,25,May,2013,"Great Spotted Woodpecker ",Great Spotted Woodpecker,X
Chorlton EES,29,March,2013,"Great-spotted Woodpecker drumming ",Great Spotted Woodpecker,X
Chorlton EES,16,February,2013,"Great-spotted Woodpecker, initially drumming, then flitting between trees ",Great Spotted Woodpecker,X
Chorlton EES,23,October,2012,"1 Great-spotted Woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,14,May,2012,"1 Great-spotted Woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,3,May,2012,"1 great spotted woodpecker,heard only ",Great Spotted Woodpecker,1
Chorlton EES,28,April,2012,"1 Great-Spotted Woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,24,April,2012,"2 great spotted woodpeckers ",Great Spotted Woodpecker,2
Chorlton EES,14,April,2012,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,12,April,2012,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,31,March,2012,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton EES,16,January,2012,"3 Great Spotted Woodpeckers ",Great Spotted Woodpecker,3
Chorlton EES,15,April,2011," 1 great spotted woodpecker ",Great Spotted Woodpecker,1
Lostock Park and Old Corn Fields,23,January,2019," 1:55pm 2:55pm after the fog had lifted but still not clear. Black-headed Gull 1 Blackbird 19 Blue Tit 5 Buzzard 1 Carrion Crow 4 Chaffinch 3 Common Gull 4 Feral Pigeon 28 Fieldfare 4 Goldfinch 31 Great Spotted Woodpecker 1 Great Tit 3 Greenfinch 1 Kestrel 1 Long-tailed Tit 2 Magpie 25 Mistle Thrush 2 Redwing 12 Robin 5 Song Thrush 4 Starling 20 Woodpigeon 17 Wren 1 First sighting of the buzzard this year, I'd started to worry about it. Also a flock of 55 redwings on Barton Clough playing field. ",Great Spotted Woodpecker,1
Lostock Park and Old Corn Fields,18,January,2019," Interesting variation over a few days on my local patch: Friday 18/01/2019 12:00 12:35 Black-headed Gull 4 Blackbird 9 Blue Tit 4 Carrion Crow 2 Chaffinch 1 Common Gull 18 Feral pigeon 17 Goldfinch 21 Great Spotted Woodpecker 1 Great Tit 3 Greenfinch 1 House Sparrow 2 Lesser Black-backed Gull 1 Long-tailed Tit 1 Magpie 16 Mistle Thrush 4 Robin 5 Starling 7 Woodpigeon 7 Saturday 12/01/2019 12:45 13:20 Black-headed Gull 3 Blackbird 6 Carrion Crow 1 Chaffinch 1 Collared Dove 2 Common Gull 3 Dunnock 1 Feral Pigeon 27 Fieldfare 1 Goldfinch 11 Great Tit 3 Greenfinch 1 Magpie 14 Mistle Thrush 2 Redwing 66 Robin 1 Starling 109 Woodpigeon 4 ",Great Spotted Woodpecker,18
Lostock Park and Old Corn Fields,25,October,2018," After a quiet few months where even blackbirds were thin on the ground there was an influx of thrushes today, though no redwings yet. Starting to see a pick-up of goldfinches after an uncharacteristically quiet Autumn. Black-headed Gull 1 Blackbird 23 Blue Tit 3 Carrion Crow 2 Collared Dove 1 Feral Pigeon 23 Goldfinch 25 Great Spotted Woodpecker 1 Great Tit 3 Greenfinch 1 House Sparrow 14 Kestrel 1 Lesser Black-backed Gull 2 Magpie 14 Mistle Thrush 3 Robin 9 Song Thrush 6 Woodpigeon 6 Wren 4 ",Great Spotted Woodpecker,1
Turn Moss,15,March,2018,"Great Spotted Woodpecker 2 ",Great Spotted Woodpecker,2
Turn Moss,23,August,2016,"Great Spotted Woodpecker 1 ",Great Spotted Woodpecker,1
Turn Moss,14,May,2016," Took my aunt to see the Great spotted woodpeckers and ended up coming across a short eared owl. After finding the woodpeckers we then walked towards sale wp and I saw a bird coming over the tree line, from the direction of hardly farm, to find that it was a short eared owl, it continued to head in the direction of stretford ees and and then finally it drifted very high and was lost from sight after circling higher and higher over turnmoss with a buzzard seeing it off. ",Great Spotted Woodpecker,X
Turn Moss,14,April,2016,"A pair great spotted woodpeckers ",Great Spotted Woodpecker,X
Turn Moss,8,April,2016,"2 great spotted woodpecker ",Great Spotted Woodpecker,2
Turn Moss,24,September,2013,"1 Great Spotted Woodpecker ",Great Spotted Woodpecker,1
Turn Moss,11,July,2012,"1 Great-spotted Woodpecker ",Great Spotted Woodpecker,1
Turn Moss,13,April,2012,"great spotted woodpecker (heard ) ",Great Spotted Woodpecker,X
Heaton Park,10,August,2018,"2 Great spotted woodpecker ",Great Spotted Woodpecker,2
Heaton Park,27,September,2015,"Great spotted woodpecker ",Great Spotted Woodpecker,X
Heaton Park,14,December,2014," Very close up view of a Goldcrest, also nuthatches, Great Spotted Woodpecker, Cormorant, Redwing and Fieldfares. ",Great Spotted Woodpecker,X
Heaton Park,8,November,2014,"Great spotted Woodpecker ",Great Spotted Woodpecker,X
Heaton Park,23,July,2014," Great Spotted Woodpecker, Blackcaps, Grey Wagtail, Mute Swan Cygnets, Juv Swallows and several Nuthatches. ",Great Spotted Woodpecker,X
Heaton Park,19,November,2013,"Great Spotted Woodpecker x 2 ",Great Spotted Woodpecker,2
Heaton Park,12,November,2013,"Great Spotted Woodpecker x 3 ",Great Spotted Woodpecker,3
Heaton Park,5,October,2013,"Great Spotted Woodpecker ",Great Spotted Woodpecker,X
Heaton Park,26,August,2013,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Heaton Park,22,May,2013,"Nice view of a Great Spotted Woodpecker feeding on the ground in a field near the Horticultural centre entrance Lots of Mistle Thrushes feeding on the ground in various locations. ",Great Spotted Woodpecker,X
Heaton Park,3,April,2013,"Great Spotted Woodpecker x 2,[near the Tram depot] ",Great Spotted Woodpecker,2
Heaton Park,16,March,2013,"Great Spotted Woodpecker ",Great Spotted Woodpecker,X
Heaton Park,27,January,2013,"Walking back to the van...20-25 Redwings in the trees overhead and 2 Great Spotted Woodpecker ",Great Spotted Woodpecker,20
Heaton Park,12,January,2013,"2 Great spotted woodpecker ",Great Spotted Woodpecker,2
Heaton Park,1,January,2013,"Great-spotted Woodpecker ",Great Spotted Woodpecker,X
Heaton Park,28,December,2012,"- Great Spotted Woodpecker (heard) ",Great Spotted Woodpecker,X
Heaton Park,12,May,2012,"Great spotted Woodpecker ",Great Spotted Woodpecker,X
Heaton Park,18,March,2012,"Great spotted woodpecker calling ",Great Spotted Woodpecker,X
Heaton Park,16,March,2012,"At least 2 Great Spotted Woodpecker ",Great Spotted Woodpecker,2
Heaton Park,13,March,2012,"4-5 Great Spotted Woodpecker (4 Drumming) ",Great Spotted Woodpecker,4
Heaton Park,12,March,2012,"1 Great Spotted Woodpecker ",Great Spotted Woodpecker,1
Heaton Park,4,March,2012,"Great spotted woodpecker ",Great Spotted Woodpecker,X
Heaton Park,29,February,2012,"2 Treecreeper in the woods, Male Chaffinch on the Ivy outside the farm wall, Great Spotted Woodpecker and Nuthatches heard ",Great Spotted Woodpecker,2
Heaton Park,11,February,2012,"Great-spotted woodpecker ",Great Spotted Woodpecker,X
Heaton Park,2,February,2012,"1 Great Spotted Woodpecker ",Great Spotted Woodpecker,1
Heaton Park,29,January,2012,"2 Great spotted Woodpecker ",Great Spotted Woodpecker,2
Heaton Park,2,January,2012,"Great-spotted Woodpecker ",Great Spotted Woodpecker,X
Heaton Park,26,November,2011,"2 great spotted woodpeckers ",Great Spotted Woodpecker,2
Heaton Park,13,October,2011,"3 Great Spotted Woodpeckers chasing each other at highland cow field and Nuthatch calling ",Great Spotted Woodpecker,3
Mersey Vale Country Park,4,March,2018," Bullfinch Great spotted Woodpecker Song Thrush all on the Mersey Vale Nature Park ",Great Spotted Woodpecker,X
Mersey Vale Country Park,22,May,2012,"Great Spotted Woodpecker (1) Mersey Vale NR ",Great Spotted Woodpecker,1
Mersey Vale Country Park,9,September,2009,"Heard a great spotted woodpecker ",Great Spotted Woodpecker,X
Burnage Rugby Football Club,17,March,2013," Great Spotted Woodpecker drumming in Poplars along the river bank at Burnage Rugby Club at the start of yesterday's parkrun (approx 09:05) ",Great Spotted Woodpecker,09
Burnage Rugby Football Club,5,May,2011,"1 Great Spotted Woodpecker (m) near Geoff's Bridge ",Great Spotted Woodpecker,1
Longford Park,1,November,2018,"Great Spotted Woodpecker 1 ",Great Spotted Woodpecker,1
Longford Park,16,April,2018,"Great Spotted Woodpecker 1 ",Great Spotted Woodpecker,1
Longford Park,6,April,2018,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Longford Park,9,November,2017,"Great Spotted Woodpecker seen while taking a short cut through to- Turn Moss and Sale wp. ",Great Spotted Woodpecker,X
Longford Park,12,April,2017,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Longford Park,16,November,2016," Brief afternoon visit highlights: 1F Sparrowhawk, Great tits, Blue tits, Coal tits, Chaffinches, Goldfinches, 1 Grey wagtail (on waterlogged areas in disc golf area, patch tick) C.50 starlings again Redwings Mistle thrushes 1 great spotted woodpecker Plus all other usual gulls and garden birds Berries starting to seriously decrease in the area, so looking slim for a waxwing appearance. ",Great Spotted Woodpecker,1
Longford Park,28,September,2016,"Great spotted woodpecker ",Great Spotted Woodpecker,X
Longford Park,16,July,2016,"Great Spotted Woodpecker ",Great Spotted Woodpecker,X
Longford Park,18,May,2016," I was in longford park yesterday afternoon and I left the car park heading into the park when I heard a Woodpecker. It was in the trees running alongside the athletic stadium, the Great spotted woodpecker was drilling for a second then moving on to another tree and it kept doing this. Unfortunately I could not get a picture. within the same area there was a female Nuthatch but she quickly gave me the slip. I enjoyed a good 1.5 hours wandering around the park seeing nesting Blue Tits, busy Coal Tits and some very fast Long-tailed Tits, numerous Woodpigeons and a couple of Collared Doves and of course many friendly grey Squirrels. Sparrows were chirping at each other. A couple of Robins came and kept me company until they got bored, It was most enjoyable. ",Great Spotted Woodpecker,1
Longford Park,28,November,2015,"great spotted woodpecker heard calling ",Great Spotted Woodpecker,X
Longford Park,14,November,2015,"3 Great Spotted Woodpecker ",Great Spotted Woodpecker,3
Longford Park,15,April,2015,"2 great spotted woodpecker ",Great Spotted Woodpecker,2
Longford Park,14,April,2015,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Longford Park,7,April,2015,"1 Great spotted woodpecker ",Great Spotted Woodpecker,1
Longford Park,14,April,2014,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Longford Park,9,December,2013,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Longford Park,1,December,2013,"2 great spotted woodpeckers ",Great Spotted Woodpecker,2
Longford Park,24,November,2013,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Longford Park,15,November,2013,"2 great spotted woodpeckers ",Great Spotted Woodpecker,2
Longford Park,10,October,2013,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Longford Park,13,April,2012,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Longford Park,13,December,2011,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
Longford Park,27,September,2011," 1 great spotted woodpecker ",Great Spotted Woodpecker,1
Chorlton Park,24,May,2017,"1 great spotted woodpecker (first I've had in here for a couple of years, I think) ",Great Spotted Woodpecker,1
Chorlton Park,7,February,2015,"2 great spotted woodpecker (with drumming heard later on) ",Great Spotted Woodpecker,2
Stretford Meadows,14,May,2016,"2 great spotted woodpecker ",Great Spotted Woodpecker,2
Stretford Meadows,17,March,2013,"2 great spotted woodpecker ",Great Spotted Woodpecker,2
Prestwich Forest Park,29,March,2015," Mere Clough Jay, 2 Kestrel, 3 Nuthatch, Great Spotted Woodpecker, Dipper on river 2 Goldcrest ",Great Spotted Woodpecker,2
Prestwich Forest Park,17,September,2014," Mere Clough-Jay, Singing Chiffchaff, Jackdaw, lots of Nuthatches, Heron at Damshead Coal Tit, Long TailedTits and Great Spotted Woodpecker ",Great Spotted Woodpecker,X
Prestwich Forest Park,8,June,2013," Great Spotted woodpecker, Nuthatch, Treecreeper, grey wagtail, Chiffchaff Blackcap Common Whitethroat, Willow Warbler, Raven ",Great Spotted Woodpecker,X
Prestwich Forest Park,11,March,2013,"flock of Goldfinches and few Bullfinches near sewage works, several Nuthatches and Great Spotted Woodpecker bottom Mere Clough, on river downstream from aquaduct 3 Goosander 4 Little Grebe, 2 Teal 4 Grey Wagtail, upstream a wader but too far to confirm properly, over 2 Cormorant and flapping about a Kestrel more Bullfinches and loads of Wrens ",Great Spotted Woodpecker,3
Prestwich Forest Park,23,March,2012,"In the woods lots of Nuthatch, Great spotted Woodpeckers, treecreepers jay pheasant and fly over buzzard some goosander in the river. In the ponds drinkwater park 6 tufted duck and great crested grebe chiffchaff everywhere. ",Great Spotted Woodpecker,6
Fog Lane Park,24,March,2018,"Great spotted woodpecker - hammering away for sometime on tree ",Great Spotted Woodpecker,X
Fog Lane Park,18,March,2018," Over the past few months I've noticed an unusual duck on Fog Lane pond. I'm certain it is an Indian Spot-billed Duck. I'm aware this sounds far-fetched so I've attached a photo. I see I'm not the first to identify this duck here either. The photo does not show the bird's green secondaries, which distinguish it from the female Mallard, who's secondaries are blue. Speaking to somebody who knew the petting zoo which used to be part of Fog Lane very well, this kind of duck was not kept at the petting zoo. So it's likely to have come from another collection. Strange! Otherwise, I have noted the usual birds in Fog Lane this week. A large flock of Redwings is still here; Great spotted woodpeckers, Nuthatches, a Goldcrest and of course the Parakeets. ",Great Spotted Woodpecker,X
Fog Lane Park,3,February,2017,"A visit had 7 Ring neck parakeets and a Great spotted woodpecker in the group of large trees. ",Great Spotted Woodpecker,7
Fog Lane Park,10,August,2013,"1 Great Spotted Woodpecker ",Great Spotted Woodpecker,1
Fog Lane Park,30,January,2012,"1 great spotted woodpecker (heard only) ",Great Spotted Woodpecker,1
Fog Lane Park,25,March,2011,"Great Spotted Woodpecker ",Great Spotted Woodpecker,X
Fog Lane Park,19,February,2011,"1 Great Spotted Woodpecker - female ",Great Spotted Woodpecker,1
Fog Lane Park,13,February,2010,"2 Great-spotted Woodpecker ",Great Spotted Woodpecker,2
Mersey Vale Country Park,10,March,2018,"great spotted woodpecker heard ",Great Spotted Woodpecker,X
Heaton Mersey Common,23,December,2017,"25 species around the pond and in the wood, nothing flash but I got some nice views of Great Spotted Woodpecker, Nuthatch and Redwings, also the first Greenfinch there for a while ",Great Spotted Woodpecker,25
Heaton Mersey Common,17,December,2016,"I was too lazy to head out anywhere very far today, so I went for an enjoyable mooch around the small NR this afternoon. 28 species, which I was happy with as it is generally pretty quiet there. I also heard some Pink-footed Geese flying over and a Siskin which I couldn't locate. 2 Great Spotted Woodpecker were showing well, one in fact was seen at around 10m range feeding on the base of a tree by the water's edge. It got flushed by a Moorhen at one point; not seen that before! My best views of this species for a long time. ",Great Spotted Woodpecker,28
Heaton Mersey Common,13,January,2016,"Great Spotted Woodpecker 1 ",Great Spotted Woodpecker,1
Heaton Mersey Common,21,April,2015," 2 Great Spotted Woodpeckers back at the old nest. ",Great Spotted Woodpecker,2
Heaton Mersey Common,19,January,2014,"Same species as Paul below minus Nuthatch and Bullfinch, plus Grey Heron and Goldcrest. The highlight for me being a lovely pair of Great Spotted Woodpecker fussing about, but the other difference was 3 Ring-necked Parakeets. ",Great Spotted Woodpecker,3
Platt Fields Park,15,November,2017,"1 great spotted woodpecker ",Great Spotted Woodpecker,1
